Item Number,Item Name AR,Main Category,Price,Item Name,Description
40,1 ب 2 مع نسله,Hot Drink,222 SYP,1 for 2 with Nestlé milk,Smooth and creamy coffee blend enriched with sweet Nestlé milk.
41,1 ب 3 مع نسلة,Hot Drink,300 SYP,1 for 3 with Nestlé milk,Creamy blend of rich coffee and sweet Nestlé milk.
42,میلو,Hot Drink,250 SYP,Milo,"A nutritious and delicious chocolate malt beverage, served hot or cold for a classic energy boost."
43,میلو حليب,Hot Drink,275 SYP,Milo milk,Creamy and comforting hot malt beverage blended with fresh milk.
44,بيستاشو لاتيه,Hot Drink,282 SYP,Pistachio Latte,"Creamy espresso blended with steamed milk and rich, nutty pistachio flavor."
45,سيفن هيفن لاتيه,Hot Drink,282 SYP,Seven Heaven Latte,"An exclusive, blissful coffee blend featuring notes of cantaloupe and brown sugar for a heavenly sip."
46,اسبانيش لاتيه,Hot Drink,282 SYP,Spanish Latte,Creamy espresso-based drink perfectly balanced with steamed milk and sweetened condensed milk.
47,هوت شوكليت كيك,Hot Drink,295 SYP,Hot Chocolate Cake,"Warm, decadent chocolate cake served in a mug for a rich, drinkable dessert experience."
48,اسبريسو كومبانا,Hot Drink,212 SYP,Espresso Campana,Rich espresso topped with a dollop of velvety whipped cream.
49,3 ب 1 مع حليب,Hot Drink,242 SYP,3-in-1 with Milk,"A convenient, smooth blend of coffee, creamer, and sugar topped with rich milk."
50,1 ب 2 مع حليب,Hot Drink,232 SYP,1-in-2 with Milk,Smooth and creamy coffee blend with rich milk.
51,سموزي حليب وموز,Nature Smoothies,347 SYP,Milk & Banana Smoothie,"Creamy blend of ripe bananas and chilled milk for a classic, naturally sweet refreshment."
52,سموزي فریز,Nature Smoothies,355 SYP,Strawberry Smoothie,"Refreshing blend of ripe strawberries and chilled milk for a sweet, fruity treat."
53,سموزي شوفان وعسل,Nature Smoothies,377 SYP,Oatmeal & Honey Smoothie,A wholesome blend of nutritious oats and sweet honey for a naturally energizing treat.
54,سموزي فواكه استوائية,Nature Smoothies,377 SYP,Tropical Fruit Smoothie,A vibrant blend of exotic fruits for a refreshing tropical escape.
55,سموزي فواكه صيفية,Nature Smoothies,377 SYP,Summer Fruit Smoothie,"Refreshing blend of seasonal fruits, chilled for a vibrant and sweet summer treat."
56,سموزي دراق,Nature Smoothies,347 SYP,Peach Smoothie,"Refreshing blend of ripe, sweet peaches for a cool, fruity treat."
57,سموزي اناناس,Nature Smoothies,347 SYP,Pineapple Smoothie,"A refreshing tropical blend of ripe pineapples, creamy and chilled to perfection."
58,سموزي جبس,Nature Smoothies,347 SYP,Chips Smoothie,"Refreshing blend of blended chips and creamy base for a unique, savory-sweet treat."
59,سموزي بطيخ,Nature Smoothies,347 SYP,Watermelon Smoothie,"Refreshing and ice-cold blend of fresh watermelon for a sweet, hydrating summer treat."
60,سموزي حليب موز وشوكولا,Nature Smoothies,380 SYP,Banana & Chocolate Smoothie,"Creamy blend of ripe bananas and rich chocolate for a decadent, refreshing treat."
61,ايس كريم شوكولا,Ice Cream,340 SYP,Chocolate Ice Cream,"Rich and creamy frozen treat made with premium cocoa for a deep, indulgent chocolate flavor."
62,ايس كريم فريز,Ice Cream,340 SYP,Strawberry Ice Cream,"Creamy vanilla-infused treat swirled with fresh, sun-ripened strawberries for a sweet and refreshing classic."
63,ايس كريم نكهات مختلفة,Ice Cream,340 SYP,Various Flavored Ice Cream,"A delightful variety of chilled, creamy treats available in a range of classic and seasonal flavors."
64,ايس كريم كيندر,Ice Cream,347 SYP,Kinder Ice Cream,Creamy vanilla ice cream mixed with smooth Kinder chocolate pieces.
65,ايس كريم غالاكسي,Ice Cream,347 SYP,Galaxy Ice Cream,Smooth and creamy ice cream infused with rich Galaxy chocolate for a decadent treat.
66,ايس كريم كرانشي,Ice Cream,347 SYP,Crunchy Ice Cream,Creamy vanilla ice cream mixed with satisfyingly crisp chocolate bits and crunchy nuts.
67,ايس كريم جامايكان,Ice Cream,340 SYP,Jamaican Ice Cream,Creamy tropical treat infused with island spices and exotic flavors.
68,ايس كريم شوكولا مو,Ice Cream,357 SYP,Chocolate Moo Ice Cream,Rich and creamy chocolate ice cream topped with a velvety chocolate sauce.
69,ايس كريم غفانيل,Ice Cream,342 SYP,Vanilla Ice Cream,Smooth and creamy classic vanilla bean ice cream.
70,فودكا,Alcoholic Drinks,0 SYP,Vodka,"A clean, versatile, and high-quality spirit, perfect for sipping neat or as a foundation for your favorite cocktail."
71,الجين,Alcoholic Drinks,0 SYP,Gin,"A classic, crisp spirit with botanical notes of juniper and herbs."
72,الويسكي,Alcoholic Drinks,0 SYP,Whiskey,A bold and complex spirit with rich notes of oak and caramel.
73,المارتيني,Alcoholic Drinks,0 SYP,Martini,"A sophisticated blend of gin or vodka and dry vermouth, served chilled with an olive or lemon twist."
74,التيكيلا,Alcoholic Drinks,0 SYP,Tequila,"A classic Mexican spirit distilled from blue agave, offering smooth, earthy notes with a crisp finish."
75,البيرة,Alcoholic Drinks,0 SYP,Beer,Refreshing and crisp brew with a smooth finish.
76,النبيذ احمر ابيض الروزيه,Alcoholic Drinks,0 SYP,"Wine (Red, White, Rosé)","A curated selection of fine red, white, and rosé wines to perfectly complement your meal."
77,الفودكا قناني كحول,Bottle of Alcohol,0 SYP,Vodka (Bottle),"A premium selection of chilled, distilled spirits served by the bottle for your table."
78,الجين قناني كحول,Bottle of Alcohol,0 SYP,Gin (Bottle),"A full bottle of premium gin, perfect for sharing and crafting your own drinks."
79,الرام اسود ذهبي ابيض ليتر,Bottle of Alcohol,0 SYP,"Rum (Black, Gold, White, Liter)","A selection of premium rums available in black, gold, or white, served by the liter."
80,الويسكي ليتر,Bottle of Alcohol,0 SYP,Whiskey (Liter),"A full liter bottle of premium whiskey, ideal for sharing and enjoying neat or on the rocks."
81,النبيذ احمر ابيض الروزيه ليتر,Bottle of Alcohol,0 SYP,"Wine (Red, White, Rosé) Liter","A selection of red, white, or rosé wine served in a full liter bottle."
82,فرابيه شوكولا,Frabpe,0.355 SYP,Chocolate Frappe,"A chilled, blended coffee treat featuring rich chocolate and velvety whipped cream."
83,قرابیه كرميل موكا,Frabpe,355 SYP,Caramel Mocha Frappe,"A chilled, blended coffee treat featuring rich chocolate and sweet caramel."
84,فرابيه اوريو,Frabpe,355 SYP,Oreo Frappe,"A creamy, chilled blend of espresso and milk swirled with crunchy Oreo cookie crumbles."
85,فرابيه فریز,Frabpe,355 SYP,Strawberry Frappe,"A refreshing blend of sweet strawberries and creamy ice, topped with whipped cream."
86,فرابيه شيز كيك,Frabpe,370 SYP,Cheesecake Frappe,"Creamy blend of rich cheesecake flavors and coffee, topped with a hint of sweetness."
87,فرابیه لوتوس,Frabpe,370 SYP,Lotus Frappe,Creamy blended coffee infused with caramelized Lotus Biscoff cookie flavor.
88,فرابيه فستق,Frabpe,370 SYP,Pistachio Frappe,"A creamy, blended iced treat infused with rich roasted pistachio flavor."
89,سلطة كيندر,Sweet Salads,360 SYP,Kinder Salad,"Sweet medley of fresh fruits drizzled with rich, melted Kinder chocolate."
90,سلطة تويكس,Sweet Salads,360 SYP,Twix Salad,A decadent mix of fresh fruits and cream topped with crunchy Twix chocolate pieces and caramel drizzle.
91,سلطة غالاكسي,Sweet Salads,360 SYP,Galaxy Salad,A decadent mix of fresh fruits topped with rich Galaxy chocolate shavings and a drizzle of silky chocolate sauce.
92,سلطة كيت كات,Sweet Salads,360 SYP,Kit Kat Salad,A decadent mix of fresh fruits and crunchy Kit Kat pieces drizzled with rich chocolate syrup.
93,سلطة سنيكرز,Sweet Salads,360 SYP,Snickers Salad,"A sweet, indulgent mix of chopped Snickers bars, crisp apples, and fluffy whipped cream."
94,سلطة اوريو,Sweet Salads,360 SYP,Oreo Salad,"Creamy, chilled salad featuring crushed Oreo cookies and sweet whipped cream."
95,سلطة براونيز,Sweet Salads,365 SYP,Brownies Salad,Decadent brownie chunks tossed with fresh fruits and a drizzle of rich chocolate syrup.
96,سلطة فواكة,Sweet Salads,345 SYP,Fruit Salad,"A vibrant medley of fresh, seasonal fruits served chilled for a naturally sweet and refreshing treat."
97,سلطة نوتيلا,Sweet Salads,345 SYP,Nutella Salad,A decadent mix of fresh fruits drizzled with rich Nutella and topped with a sprinkle of nuts.
98,سيروب شوكولا,Syrups,0 SYP,Chocolate Syrup,"Rich, velvety chocolate drizzle perfect for enhancing any dessert or beverage."
99,سيروب فریز,Syrups,0 SYP,Strawberry Syrup,"Sweet and vibrant syrup made from sun-ripened strawberries, perfect for adding a fruity burst to any drink or dessert."
100,سيروب موز,Syrups,0 SYP,Banana Syrup,"Sweet and creamy syrup with the essence of ripe bananas, perfect for enhancing desserts and beverages."
101,سيروب فواكة,Syrups,0 SYP,Fruit Syrup,"A sweet and vibrant blend of mixed fruit flavors, perfect for enhancing desserts and beverages."
102,سيروب اوريو,Syrups,0 SYP,Oreo Syrup,Sweet and creamy syrup infused with the classic taste of crushed Oreo cookies.
103,سيروب كيت كات,Syrups,0 SYP,Kit Kat Syrup,Sweet and crunchy chocolate syrup infused with the classic taste of Kit Kat bars.
104,سيروب كيندر,Syrups,0 SYP,Kinder Syrup,Smooth and milky chocolate syrup with the signature flavor of Kinder.
105,سيروب غالاكسي,Syrups,0 SYP,Galaxy Syrup,"A rich and creamy chocolate syrup with the signature smooth, silky taste of Galaxy chocolate."
106,سيروب كريم الباتيسيير,Syrups,0 SYP,Patissier Cream Syrup,Rich and velvety syrup with the classic flavor of smooth pastry cream.
107,الفوندون,Sweets,347 SYP,Fondone,"A decadent chocolate lava cake featuring a warm, molten center served with a side of creamy vanilla ice cream."
108,براونيز,Sweets,362 SYP,Brownies,"Rich, fudgy chocolate squares with a crackly top, served warm and decadent."
109,البانكيك,Sweets,382 SYP,Pancakes,"Fluffy, golden-brown stacks served with syrup and butter."
110,الكيك والبوظة,Sweets,382 SYP,Cake and Ice Cream,"Warm sponge cake served with a cool, creamy scoop of vanilla ice cream."
111,كريم الأوريو,Sweets,382 SYP,Oreo Cream,Rich and velvety cream infused with crunchy Oreo cookie pieces.
112,كريم الكندر,Sweets,382 SYP,Kinder Cream,"Smooth and velvety cream infused with the rich, milky flavor of Kinder chocolate."
113,الوافل,Sweets,312 SYP,Waffle,"Crispy on the outside and light on the inside, served golden-brown and perfect with your favorite toppings."
114,وافل الشيز كيك,Sweets,382 SYP,Cheesecake Waffle,Crispy golden waffle topped with creamy cheesecake and a drizzle of sweet syrup.
115,تيراميسو,Sweets,382 SYP,Tiramisu,"Classic Italian dessert with layers of coffee-soaked ladyfingers, rich mascarpone cream, and a dusting of cocoa."
116,تشيز كيك,Sweets,382 SYP,Cheesecake,"Creamy, rich dessert with a buttery graham cracker crust and smooth cream cheese filling."
117,كروسان لور,Sweets,442 SYP,Croissant Lore,"Flaky, buttery pastry filled with rich chocolate and topped with fresh fruits and cream."
118,حلاوة بالبوظة,Sweets,342 SYP,Ice Cream Dessert,Creamy scoops of premium ice cream served with traditional sweet accents for a perfect finish.
119,سويت لور,Sweets,382 SYP,Sweet Lore,A signature house dessert featuring a decadent blend of sweet flavors and premium ingredients.
120,فخارة كيندر,Sweets,462 SYP,Kinder Clay Pot,"Warm Kinder chocolate and hazelnut cream served in a traditional clay pot for a rich, indulgent treat."
121,دبل ديب بستاشيو,Sweets,442 SYP,Double Deep Pistachio,"Indulgent layers of rich pistachio cream and smooth cheesecake on a nutty crust, topped with crushed pistachios."
122,شاكليت در شار,Sweets,372 SYP,Chocolate in a Sham,Indulgent chocolate served in a traditional Sham style for a unique sweet treat.
123,ايس كوفي,Cold Drinks,290 SYP,Iced Coffee,"Chilled, bold espresso served over ice for a smooth and refreshing caffeine kick."
124,ايس موكا,Cold Drinks,290 SYP,Iced Mocha,Chilled espresso blended with rich chocolate and cold milk for a refreshing pick-me-up.
125,ایس كرميل لاتيه,Cold Drinks,310 SYP,Iced Caramel Latte,"Smooth espresso blended with chilled milk and sweet caramel, served over ice."
126,ايس شوكولا,Cold Drinks,330 SYP,Iced Chocolate,"Rich, chilled cocoa blended with milk and served over ice for a cool, velvety treat."
127,ايس كوفي شوكليت,Cold Drinks,342 SYP,Iced Chocolate Coffee,Chilled brew blended with rich chocolate for a smooth and decadent pick-me-up.
128,ايس كوفي أوريو,Cold Drinks,362 SYP,Iced Oreo Coffee,Chilled coffee blended with crunchy Oreo crumbles and topped with creamy foam.
129,موهيتو بدون كحول منكه,Cold Drinks,380 SYP,Non-Alcoholic Flavored Mojito,"Refreshing mint and lime blend with your choice of fruit flavor, served chilled without alcohol."
130,بينا كولادا بدون كحول,Cold Drinks,380 SYP,Non-Alcoholic Piña Colada,"A refreshing tropical blend of creamy coconut and sweet pineapple, served chilled without alcohol."
131,شاي مثلج طبيعي,Cold Drinks,292 SYP,Natural Iced Tea,"Refreshing and chilled tea brewed naturally for a crisp, clean taste."
132,شراب الزنجبيل,Cold Drinks,337 SYP,Ginger Syrup,"A spicy and refreshing herbal syrup with a bold, warming ginger kick."
133,سانسيت,Cold Drinks,292 SYP,Sunset,"A vibrant and refreshing mocktail featuring layers of citrus and fruit flavors, mimicking a beautiful summer sunset."
134,بلو اوشن,Cold Drinks,292 SYP,Blue Ocean,"A refreshing, vibrant blue tropical drink with a cool citrus finish."
135,ايس لاتيه بلو,Cold Drinks,330 SYP,Iced Blue Latte,A refreshing blend of chilled espresso and milk with a vibrant blue twist.
136,سانسیت,Cold Drinks,335 SYP,Sunset,"A vibrant, layered blend of fruit juices and syrup, perfectly chilled for a refreshing, tropical taste."
137,ميلك شيك شوكولا,Milkshakes,332 SYP,Chocolate Milkshake,Creamy and indulgent blend of rich chocolate and chilled milk.
138,ميلك شيك فریز,Milkshakes,332 SYP,Strawberry Milkshake,Creamy and refreshing blend of fresh strawberries and chilled milk.
139,ميلك شيك فانيل,Milkshakes,332 SYP,Vanilla Milkshake,Creamy and smooth blend of premium vanilla ice cream and chilled milk.
140,ميلك شيز كيك,Milkshakes,362 SYP,Cheesecake Milkshake,"Creamy, indulgent shake blended with rich cheesecake flavors and a crumbly crust finish."
141,ميلك شيك اوريو شيز كيك,Milkshakes,362 SYP,Oreo Cheesecake Milkshake,"Creamy blend of rich cheesecake and crunchy Oreo cookies, topped with whipped cream."
142,ميلك شيك كوكيز,Milkshakes,362 SYP,Cookie Milkshake,Creamy vanilla blend mixed with crunchy cookie crumbles and topped with whipped cream.
143,ميلك شيك موكا,Milkshakes,342 SYP,Mocha Milkshake,"Creamy blend of rich espresso and chocolate, topped with whipped cream."
144,ميلك شيك اوريو,Milkshakes,342 SYP,Oreo Milkshake,Creamy vanilla blend mixed with crunchy Oreo cookie pieces.
145,ميلك شيك بيستاشو,Milkshakes,362 SYP,Pistachio Milkshake,"Creamy milkshake blended with rich, toasted pistachio flavor."
146,SEX ON THE BEACH,Alcoholic cocktail,465 SYP,SEX ON THE BEACH,"A vibrant, fruity cocktail blending vodka, peach schnapps, orange, and cranberry juice."
147,COSMOPOLITIAN,Alcoholic cocktail,465 SYP,COSMOPOLITIAN,"A chic and refreshing cocktail featuring citrus vodka, orange liqueur, cranberry juice, and fresh lime."
148,MARGARITA,Alcoholic cocktail,600 SYP,MARGARITA,"A classic, refreshing blend of tequila, orange liqueur, and fresh lime juice, served in a salt-rimmed glass."
149,STRAWBERRY MARGARITA,Alcoholic cocktail,515 SYP,STRAWBERRY MARGARITA,"A refreshing blend of tequila, lime, and sweet strawberries, served chilled for a fruity twist."
150,LONG ISLAND,Alcoholic cocktail,479 SYP,LONG ISLAND,A potent and refreshing blend of multiple spirits balanced with a splash of cola and citrus.
151,ADIOS,Alcoholic cocktail,475 SYP,ADIOS,"A potent, electric blue cocktail featuring five spirits blended with sour mix and topped with refreshing lemon-lime soda."
152,ICED TEA,Alcoholic cocktail,475 SYP,ICED TEA,Refreshing chilled tea served over ice with a hint of lemon.
153,GOD FATHER,Alcoholic cocktail,475 SYP,GOD FATHER,"A classic, bold cocktail blending smooth Scotch whisky with sweet amaretto."
154,GOD MOTHER,Alcoholic cocktail,405 SYP,GOD MOTHER,A smooth and potent cocktail featuring vodka and amaretto served over ice.
155,RUSTY NAIL,Alcoholic cocktail,520 SYP,RUSTY NAIL,"A classic, sophisticated blend of Scotch whisky and Drambuie with a hint of honey and spice."
156,SIDECAR,Alcoholic cocktail,505 SYP,SIDECAR,"A classic cocktail blending cognac, orange liqueur, and fresh lemon juice with a sugar-rimmed finish."
157,BELINI,Alcoholic cocktail,415 SYP,BELINI,"A classic, refreshing cocktail made with sparkling wine and peach purée."
158,MOJITO,Alcoholic cocktail,525 SYP,MOJITO,"Refreshing blend of muddled lime, fresh mint, sugar, and soda water."
159,CUBA LIBRE,Alcoholic cocktail,462 SYP,CUBA LIBRE,"A classic Cuban blend of light rum and cola, brightened with a splash of fresh lime juice."
160,MOSCOW MULE,Alcoholic cocktail,560 SYP,MOSCOW MULE,"A refreshing cocktail of vodka, spicy ginger beer, and lime juice, traditionally served in a copper mug."
161,LONDON MULE,Alcoholic cocktail,585 SYP,LONDON MULE,"A gin-based twist on the classic, featuring spicy ginger beer and fresh lime."
162,CHOCOLATE MARTINI,Alcoholic cocktail,425 SYP,CHOCOLATE MARTINI,"A decadent blend of rich chocolate liqueur and premium vodka, served chilled for a smooth, dessert-like finish."
163,blue kamicaz,Alcoholic cocktail,475 SYP,blue Kamicaz,"Vibrant blue cocktail featuring vodka, blue curaçao, and lime for a bold, citrusy kick."
164,B-52,Alcoholic Shot,342 SYP,B-52,"A classic layered shooter featuring coffee liqueur, Irish cream, and orange liqueur."
165,B-53,Alcoholic Shot,342 SYP,B-53,"A powerful layered shot featuring coffee liqueur, Irish cream, and premium vodka."
166,B-55,Alcoholic Shot,385 SYP,B-55,"A bold and powerful layered shot featuring coffee liqueur, Irish cream, and absinthe."
167,BRAIN,Alcoholic Shot,332 SYP,BRAIN,"A striking layered shooter with peach schnapps, Irish cream, and grenadine."
168,CLASSIC LADY,Alcoholic Shot,367 SYP,CLASSIC LADY,An elegant and refreshing alcoholic shot crafted for a sophisticated palate.
169,AFTERSHOCK,Alcoholic Shot,380 SYP,AFTERSHOCK,A bold and electrifying spirit known for its intense cinnamon spice and unique hot-and-cool sensation.
170,SHAMROCK,Alcoholic Shot,345 SYP,SHAMROCK,A vibrant green alcoholic shot featuring refreshing mint and creamy melon notes.
171,TEQUILA GOLD,Alcoholic Shot,380 SYP,TEQUILA GOLD,"Smooth, premium gold tequila with a rich agave profile and subtle oak notes."
172,DUDU,Alcoholic Shot,320 SYP,DUDU,"A classic, bold alcoholic shot with a sharp, spirited finish."
173,LINER,Alcoholic Shot,380 SYP,LINER,"A bold and intense layered alcoholic shooter designed for a quick, high-impact kick."
174,YAGER MASTER,Alcoholic Shot,402 SYP,YAGER MASTER,"A complex German herbal liqueur with a bold, bittersweet profile featuring notes of star anise and black licorice. Served ice-cold as a classic digestif or party shot."
175,بيبسي,Soda and Beer,187 SYP,Pepsi,"A classic, refreshing cola with a crisp, bold taste and iconic fizz."
176,سفن اب,Soda and Beer,187 SYP,7UP,"Crisp, refreshing lemon-lime soda with a clean, bubbly finish."
177,میراندا,Soda and Beer,187 SYP,Mirandada,"Refreshing orange-flavored soda with a crisp, bubbly finish."
178,ايس تي معلب,Soda and Beer,212 SYP,Canned Iced Tea,"Refreshing and chilled tea in a convenient can for a quick, cool pick-up."
179,صودا,Soda and Beer,400 SYP,Soda,"Refreshing and bubbly carbonated water, perfect on its own or as a mixer."
180,بيزيه,Soda and Beer,390 SYP,Bize,"Light and airy French meringue cookies with a sweet, delicate crunch."
181,مشاريق الطاقة,Soda and Beer,510 SYP,Energy Projects,A selection of high-performance energy drinks designed to provide a quick boost of stamina and focus.
182,تونيك,Soda and Beer,450 SYP,Tonic,"Crisp, bubbly, and refreshing mixer with a hint of quinine bitterness."
183,بيرة توبورع,Soda and Beer,389 SYP,Tobor Beer,"A premium, full-bodied pilsner with a crisp finish and balanced hop aroma."
184,بيزة المازة,Soda and Beer,416 SYP,Al-Maza Beer,"A premium Lebanese pilsner known for its clean, crisp taste and refreshing finish."
185,بيرة كورونا,Soda and Beer,509 SYP,Corona Beer,"A world-famous Mexican pale lager known for its crisp, refreshing taste and light citrus notes, traditionally served with a lime wedge."
186,بيرة مكسيكي,Soda and Beer,0 SYP,Mexican Beer,"Crisp, refreshing lager with a clean finish, perfect for pairing with spicy dishes."
187,بيزة بيروت,Soda and Beer,412 SYP,Beirut Beer,"A premium Lebanese pilsner known for its crisp, refreshing taste and smooth malt finish."
188,بيزة أفاميا,Soda and Beer,317 SYP,Afamia Beer,"A classic and crisp local Syrian lager with a refreshing, smooth finish."
189,بابريكان,Soda and Beer,267 SYP,Paprika,"A unique, non-alcoholic malt beverage offering a refreshing and mildly spicy kick."
190,كريب شوكولا,Crepes,352 SYP,Chocolate Crepe,"Warm, thin pancake filled and drizzled with rich, velvety melted chocolate."
191,كريب كريم الباتيسر,Crepes,382 SYP,Pastry Cream Crepe,"A delicate crepe filled with smooth, velvety pastry cream for a classic sweet treat."
192,كريب فریز,Crepes,382 SYP,Strawberry Crepe,Warm crepe filled with fresh strawberries and sweet syrup.
193,كريب موز,Crepes,382 SYP,Banana Crepe,Warm crepe filled with fresh banana slices and a drizzle of sweet syrup.
194,كريب فواكه,Crepes,382 SYP,Fruit Crepe,"A delicate, warm crepe filled with a fresh assortment of seasonal fruits and a drizzle of sweet syrup."
195,كريب اوريو,Crepes,382 SYP,Oreo Crepe,"A warm, thin crepe filled with crushed Oreo cookies and creamy chocolate drizzle."
196,كريب كيندر,Crepes,382 SYP,Kinder Crepe,Warm crepe filled with smooth Kinder chocolate for a rich and melty treat.
197,كريب كيت كات,Crepes,382 SYP,Kit Kat Crepe,"Warm, thin crepe filled with crushed Kit Kat bars and drizzled with melted milk chocolate."
198,كريب غالاكسي,Crepes,382 SYP,Galaxy Crepe,"Warm, thin crepe filled with rich, smooth Galaxy chocolate."
199,كريب كنافة,Crepes,452 SYP,Knafeh Crepe,"A delicate crepe filled with sweet, crunchy knafeh and drizzled with sugar syrup."
200,كريب سوشي,Crepes,382 SYP,Sushi Crepe,"Thinly sliced crepe rolls filled with sweet cream and topped with chocolate drizzle, served sushi-style."
201,كريب فوتوتشيني,Crepes,382 SYP,Fettuccine Crepe,Thinly sliced crepe ribbons served with your choice of sweet toppings and syrups.
202,كريب شوكولا دبي,Crepes,462 SYP,Dubai Chocolate Crepe,"Indulgent crepe filled with rich chocolate and a crunchy, pistachio-infused knafeh center."
203,كاسة فودكا رمني سك,Alcoholic beverage,282 SYP,Rumni Vodka Glass,Smooth and bold premium Rumni vodka served neat in a chilled glass.
